unixTime,referencePressurePump,measuredPressurePump * 100,referencePressureValve,measuredPressureValve * 100,valvePWM,forceSensorValue * 100
1759181416.618849,20.0,1997.0,0.0,1765.0,25.0,9842.0
1759181416.6669333,20.0,2033.0,0.0,1691.0,25.0,9037.0
1759181416.7947452,20.0,2070.0,0.0,1582.0,25.0,8496.0
1759181416.9226122,20.0,2058.0,0.0,1496.0,25.0,7845.0
1759181416.954224,20.0,2082.0,0.0,1411.0,25.0,7296.0
1759181417.081622,20.0,2082.0,0.0,1337.0,25.0,6783.0
1759181417.2087557,20.0,2094.0,0.0,1264.0,25.0,6249.0
1759181417.256786,20.0,2094.0,0.0,1191.0,25.0,5732.0
1759181417.384964,20.0,2094.0,0.0,1093.0,25.0,5286.0
1759181417.5130024,20.0,2094.0,0.0,1044.0,25.0,4872.0
1759181417.5770562,20.0,2082.0,0.0,971.0,25.0,4471.0
1759181417.7049356,20.0,2082.0,0.0,886.0,25.0,4131.0
1759181417.8408482,20.0,2082.0,0.0,837.0,25.0,3755.0
1759181417.865637,20.0,2082.0,0.0,764.0,25.0,3407.0
1759181417.9933639,20.0,2082.0,0.0,727.0,25.0,3101.0
1759181418.121422,20.0,2082.0,0.0,666.0,25.0,2804.0
1759181418.1694188,20.0,2070.0,0.0,605.0,25.0,2531.0
1759181418.2975392,20.0,2082.0,0.0,556.0,25.0,2267.0
1759181418.4329739,20.0,2070.0,0.0,520.0,25.0,2038.0
1759181418.4831812,20.0,2070.0,0.0,471.0,88.0,1840.0
1759181418.6016047,20.0,1667.0,0.0,727.0,88.0,2101.0
1759181418.7293952,20.0,1472.0,0.0,837.0,88.0,2680.0
1759181418.7833862,20.0,1447.0,0.0,922.0,88.0,3173.0
1759181418.904818,20.0,1484.0,0.0,1020.0,88.0,3633.0
1759181419.0331886,20.0,1459.0,0.0,1081.0,88.0,4099.0
1759181419.081135,20.0,1508.0,0.0,1166.0,88.0,4537.0
1759181419.2128863,20.0,1557.0,0.0,1240.0,88.0,4957.0
1759181419.3354647,20.0,1520.0,0.0,1289.0,88.0,5339.0
1759181419.3829715,20.0,1533.0,0.0,1337.0,88.0,5696.0
1759181419.5172567,20.0,1557.0,0.0,1374.0,88.0,6081.0
1759181419.6387203,20.0,1569.0,0.0,1435.0,88.0,6362.0
1759181419.686967,20.0,1582.0,0.0,1472.0,88.0,6667.0
1759181419.8139176,20.0,1630.0,0.0,1520.0,88.0,6959.0
1759181419.941766,20.0,1643.0,0.0,1557.0,88.0,7216.0
1759181419.98922,20.0,1679.0,0.0,1594.0,88.0,7457.0
1759181420.1170068,20.0,1667.0,0.0,1630.0,88.0,7701.0
1759181420.251019,20.0,1716.0,0.0,1655.0,88.0,7990.0
1759181420.2917655,20.0,1752.0,0.0,1679.0,88.0,8178.0
1759181420.4187167,20.0,1740.0,0.0,1716.0,88.0,8368.0
1759181420.5542812,20.0,1789.0,0.0,1740.0,10.0,8560.0
1759181420.5777955,20.0,1887.0,0.0,1484.0,10.0,8011.0
1759181420.6897008,20.0,1960.0,0.0,1337.0,10.0,6979.0
1759181420.8180692,20.0,1972.0,0.0,1203.0,10.0,6062.0
1759181420.9303198,20.0,1997.0,0.0,1057.0,10.0,5286.0
1759181420.994671,20.0,2009.0,0.0,947.0,10.0,4653.0
1759181421.134457,20.0,2021.0,0.0,849.0,10.0,4052.0
1759181421.199397,20.0,2021.0,0.0,751.0,10.0,3482.0
1759181421.3351758,20.0,2082.0,0.0,654.0,10.0,3001.0
1759181421.4379833,20.0,2021.0,0.0,568.0,10.0,2558.0
